round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
43	5000000	2763213	161168	2075619	19638392	15518963	5055029	180515047	86162868	4549018	1.261203	8.351948	3.063165	8.375587	0.000000	16.702811	12.156531	4.546279	5.270760	43.559706	0.534233	18858209280	18858209280	19034050560	19034050560	19451740160	19473846272	19484823552	19484823552	19864588288	19864588288	19596152832	19596152832	19596152832	19389321216	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832
44	5000000	2819305	151199	2029496	19208655	15107955	4687030	185202077	88982173	4700217	1.447170	9.603243	4.456383	6.673982	0.000000	19.829027	16.229856	3.599171	4.487146	47.347377	0.850426	19193503744	19193503744	19368251392	19368251392	19736539136	19759095808	19760599040	19760599040	20143804416	20143804416	19741151232	19741151232	19741151232	19665813504	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832
45	5000000	2796717	137452	2065831	19602873	15490888	5047902	190249979	91778890	4837669	1.381831	8.950497	2.026744	6.656706	0.000000	13.599404	11.739151	1.860253	4.151253	37.331880	0.565443	19472719872	19472719872	19651829760	19651829760	20036374528	20058746880	20060655616	20060655616	20440707072	20440707072	20172271616	20172271616	20172271616	19957395456	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832
46	5000000	2762726	126854	2110420	20119272	15704033	4906374	195156353	94541616	4964523	1.260628	8.740580	3.582780	6.542264	0.000000	11.610316	9.944134	1.666183	4.062414	36.193213	0.394231	19769622528	19769622528	19947315200	19947315200	20351025152	20373127168	20374941696	20374941696	20750860288	20750860288	20348207104	20348207104	20348207104	20267663360	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832
47	5000000	2919291	128123	1952586	18767030	14892938	4218207	199374560	97460907	5092646	1.243621	8.496394	1.084573	6.875155	0.000000	10.434020	8.945736	1.488284	3.514451	32.025143	0.376929	20080267264	20080267264	20254486528	20254486528	20583411712	20606767104	20608126976	20608126976	20994863104	20994863104	20592209920	20592209920	20592209920	20504186880	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832
48	5000000	3060680	131564	1807756	17396344	13857514	3848476	203223036	100521587	5224210	1.260719	8.397052	2.595406	6.529300	0.000000	9.487448	8.173344	1.314104	6.556207	35.502273	0.676140	20324036608	20324036608	20501118976	20501118976	20800004096	20866285568	20867354624	20867354624	21265055744	21265055744	20862402560	20862402560	20862402560	20864868352	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832
49	5000000	2933819	122682	1943499	18602683	14558951	4377684	207600720	103455406	5346892	1.214015	8.534601	4.214940	6.508781	0.000000	10.248034	8.770030	1.478005	6.374954	37.661959	0.566634	20431224832	20431224832	20634939392	20634939392	21042855936	21067309056	21124554752	21124554752	21512605696	21512605696	21109952512	21109952512	21109952512	21115981824	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832
50	5000000	2914466	119827	1965707	18416058	14308964	4148128	211748848	106369872	5466719	1.295075	8.577983	1.965381	6.698767	0.000000	9.779630	8.382049	1.397581	5.442447	34.283924	0.524641	20736434176	20736434176	20938719232	20938719232	21319999488	21344272384	21383999488	21383999488	21773545472	21773545472	21370892288	21370892288	21370892288	21373853696	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832
51	5000000	2971702	118895	1909403	17557286	13881358	3864591	215613439	109341574	5585614	1.292826	8.328970	3.786156	6.579345	0.000000	9.276641	7.967583	1.309058	4.460591	34.189712	0.465183	21008044032	21008044032	21209305088	21209305088	21587988480	21612711936	21626376192	21626376192	22022791168	22022791168	21620137984	21620137984	21620137984	21590687744	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832
52	5000000	3081186	135637	1783177	16437881	13103116	3739981	219353420	112422760	5721251	1.257969	8.278365	4.820945	5.782436	0.000000	8.644139	7.369685	1.274454	3.487599	32.657221	0.385768	21285638144	21285638144	21462372352	21462372352	21776744448	21802479616	21819756544	21819756544	22225125376	22225125376	21822472192	21822472192	21822472192	21779431424	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22624100352	22624100352	22624100352	22624100352	22624100352	22624100352
53	5000000	3129676	133556	1736768	16077136	12639915	3500206	222853626	115552436	5854807	1.276040	8.072745	2.170714	5.850158	0.000000	8.133214	6.955823	1.177391	6.337808	32.456722	0.616044	21493764096	21493764096	21682864128	21682864128	22030114816	22056222720	22099247104	22099247104	22507503616	22507503616	22104850432	22104850432	22104850432	22152933376	22624100352	22624100352	22624100352	22624100352	22624100352	22624100352	22624100352	22624100352	22903590912	22903590912	22903590912	22903590912	22903590912	22903590912
54	5000000	3311861	156193	1531946	14516492	11389980	3042471	225896097	118864297	6011000	1.221753	7.841772	3.234263	5.637072	0.000000	8.513526	7.441929	1.071597	4.910495	31.866657	0.507775	21746954240	21746954240	21933592576	21933592576	22227968000	22255710208	22282579968	22282579968	22703321088	22703321088	22300667904	22300667904	22300667904	22275440640	22903590912	22903590912	22903590912	22903590912	22903590912	22903590912	22903590912	22903590912	23086919680	23086919680	23086919680	23086919680	23086919680	23086919680
55	5000000	3327411	181023	1491566	14015437	10873896	3173432	229069529	122191708	6192023	1.293868	7.695847	4.426183	5.117329	0.000000	7.212437	6.128457	1.083980	3.446626	29.611552	0.419262	21941153792	21941153792	22144876544	22144876544	22442946560	22471012352	22491758592	22491758592	22916509696	22916509696	22513856512	22513856512	22513856512	22448869376	23086919680	23086919680	23086919680	23086919680	23086919680	23086919680	23086919680	23086919680	23296102400	23296102400	23296102400	23296102400	23296102400	23296102400
56	5000000	3250550	194215	1555235	14157392	10684855	3245492	232315021	125442258	6386238	1.296138	7.632998	1.845958	5.991927	0.000000	7.446234	6.338627	1.107607	6.129672	30.951226	0.608298	22177382400	22177382400	22379487232	22379487232	22709186560	22736748544	22778773504	22778773504	23202385920	23202385920	22799732736	22799732736	22799732736	22835576832	23296102400	23296102400	23296102400	23296102400	23296102400	23296102400	23296102400	23296102400	23582990336	23582990336	23582990336	23582990336	23582990336	23582990336
