# depth	result	count	sum	xor
# どうぶつしょうぎ完全解析: 深さごとの局面集合の指紋 (件数, 総和 mod 2^64, XOR)
#
# ⚠️ これはオラクルではない。oracle/distribution.tsv と totals.tsv は2021年の
#    原典から来ているが、この値は記録 #15 (impl/15_c_successors) の成果物から
#    取ったものにすぎない。由来が違うので、同じ重みで扱わないこと。
#
# なぜ oracle/ に置くか:
#   dat/ は 2.2 GB あって git に入らない。tools/fingerprint_dat.py は2つの dat/ を
#   突き合わせる道具なので、照合のたびに2本ぶんディスクに要る。記録 #16 で保存形式を
#   変えると #11 から5回続いた「dat/ がバイト同一」の鎖が切れるため、その前に
#   値のほうを固定して、1本の dat/ だけで照合できるようにする。
#     python3 tools/fingerprint_dat.py <dat> --against oracle/fingerprint.tsv
#
# 何を証明しないか:
#   指紋は件数・総和・XOR の3つだけ。異なる集合でも同じ指紋になりうるので、
#   一致は集合の完全一致を証明しない。verify_log.py の174行 (局面数だけ) より強く、
#   バイト比較より弱い。
#
# 対応する記録:
#   #11 #12 #13 #14 #15。この5つの成果物は results/{12,13,14,15}_*/bytecompare.txt の
#   とおりバイト同一なので、この値は5つすべてに対応する。
#
# ⚠️ 176 行あり、distribution.tsv の 174 行とは揃わない。件数を行ごとに見比べるときは:
#     - depth=1 win は 149417185。distribution.tsv の 9118571 に
#       totals.tsv の catch_win_depth1 140298614 を足した値 (dat/ はキャッチを含む)
#     - depth=0 lose (7018985 = totals.tsv の lose_depth0) と draw は
#       distribution.tsv に無い
#     - 残りの173行は distribution.tsv とそのまま一致する
#
# どう作ったか:
#   python3 tools/fingerprint_dat.py <#15 の dat> --tsv
#   記録 #15 の本走の成果物 (results/15_c_successors/env.txt が指す走行) から取り、
#   同じ #15 のコードをフィクスチャから走らせた別の dat/ でも同じ値になることを
#   確かめてある。この2つはチャンクの分かれ方が違っていてバイト同一ではないので、
#   「指紋がチャンクの分かれ方に依存しない」を空振りせずに確かめられている。
#
# 深さ - は引き分け (最後まで確定しなかった局面)。総和と XOR は10進。
122	lose	6124	5848762488389525360	1126266271642211558
123	win	6454	8117172260243539818	632307901716245130
124	lose	5329	13913181085980413055	67129042963385319
125	win	5252	7884416776218649300	434420242932860182
126	lose	4508	2031631261149952851	945435546858561987
127	win	3883	13439967197756623589	512654615138202773
128	lose	3744	4953623987612314117	456818300695510857
129	win	3229	10187070773881121541	131412705250634233
130	lose	3197	10008045723809335345	169092559342975339
131	win	2579	17744942887169042435	144574028383306237
132	lose	2299	9005956212020189859	587572526825656215
133	win	2099	13250519500897835023	885847778402557079
134	lose	1674	18335709493968216405	14744023715288433
135	win	1631	5321574840190065144	880814548202614146
136	lose	1479	4896451787474476057	958284912603472443
137	win	1656	7123724180964835253	119699963465569639
138	lose	1491	15998272725097819861	169859724278507211
139	win	2079	138952542195590870	424885877434137980
140	lose	1693	9818146064847929780	432862649784812214
141	win	1801	15199657070681906404	956331792999917574
142	lose	1335	350405365859274309	145460343721741729
143	win	1164	16779532731282688696	609497864835726352
144	lose	1046	15758934925520267885	76481659308352401
145	win	1068	11816208876429290615	237996064127569747
146	lose	868	4245917991618789614	721880168321053976
147	win	509	17899084568308249986	82493575787390434
148	lose	361	16586013846349851281	956390140355217639
149	win	283	6209583211808350921	297274042057019321
150	lose	300	15473003383565363813	239980163681372809
151	win	295	7069687299946906064	93888497904838306
152	lose	266	9821548612842938938	91569470893178980
153	win	336	7993928206948022268	362922874936783690
154	lose	164	8125666473783587533	10313455062799779
155	win	289	2425433050129141870	25110669750249548
156	lose	133	3386260058174586947	509327583264822655
157	win	195	14110658273696589198	291653822934748460
158	lose	111	2121917877381459647	72363995307047777
159	win	110	9504471144243297529	76803459211608607
160	lose	94	7477333896201167226	312320678480803590
161	win	64	2697133553749503085	77082571994808491
162	lose	65	760028424125873702	22567109299104076
163	win	16	1454815700552933962	289655350308941046
164	lose	9	1607922178022925676	310757368075143376
165	win	24	39215870895994778	1129055639144998
166	lose	7	1878108465374036653	4521633125775459
167	win	22	1764584329075490873	6940710435737
168	lose	11	1441330162427602959	288240152487193425
169	win	17	12007677279958888	1192966640540234
170	lose	4	576520525600782897	2267879545391
171	win	8	15914919548441038	5640772651321378
172	lose	3	936784145236327017	360288193528101377
173	win	12	28922599696401903	4503599631892635
174	lose	0	0	0
-	draw	2682700	9161353625505263568	815880557809809806
