round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
57	5000000	3301857	186665	1511478	13879952	10175520	3162267	235477288	128744115	6572903	1.212053	7.641729	2.986851	5.083004	0.000000	6.295557	5.280433	1.015125	4.574619	28.249105	0.455292	22442393600	22442393600	22638460928	22638460928	22970998784	22998904832	23018885120	23018885120	23444717568	23444717568	23042064384	23042064384	23042064384	23001784320	23582482432	23582482432	23582482432	23582482432	23582482432	23582482432	23582482432	23582482432	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
58	5000000	3408581	169453	1421966	13259275	9119239	3072045	238549333	132152696	6742356	1.302289	7.762267	4.144204	3.763811	0.000000	5.598077	4.612661	0.985416	3.076495	26.002855	0.355712	22678605824	22678605824	22884847616	22884847616	23191420928	23220043776	23232880640	23232880640	23395241984	23395241984	23261024256	23261024256	23261024256	23217668096	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
59	4007196	2655057	104145	1247994	11497360	7618250	2616199	241165532	134807753	6846501	1.115778	6.235553	1.111893	3.313255	0.000000	4.662535	3.848436	0.814098	2.036064	18.725210	0.250133	22934421504	22934421504	23112269824	23112269824	23310503936	23332581376	23383580672	23383580672	23560040448	23560040448	23425822720	23425822720	23425822720	23313125376	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
60	2616199	1732951	47059	836189	7734969	5009951	1836452	243001984	136540704	6893560	0.855945	4.107924	2.013630	2.030041	0.000000	2.975239	2.399295	0.575944	1.278923	13.429842	0.168139	23072899072	23072899072	23255367680	23255367680	23387062272	23401299968	23403266048	23403266048	23475605504	23475605504	23408496640	23408496640	23408496640	23341383680	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
61	1836452	1204363	28921	603168	5591822	3549758	1374668	244376652	137745067	6922481	0.492440	2.940880	2.584073	1.557827	0.000000	2.175661	1.743127	0.432534	1.001709	10.873703	0.121113	23106023424	23106023424	23216050176	23216050176	23307075584	23316942848	23347826688	23347826688	23437312000	23437312000	23370203136	23370203136	23370203136	23303090176	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
62	1374668	873200	23841	477627	4350893	2738093	1062972	245439624	138618267	6946322	0.413636	2.265054	2.947321	1.275553	0.000000	1.623635	1.292052	0.331583	0.675990	9.289734	0.088546	23164116992	23164116992	23245168640	23245172736	23347617792	23354793984	23300681728	23300681728	23425130496	23425130496	23324467200	23324467200	23324467200	23305703424	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
63	1062972	711723	27867	323382	2947746	1912583	680743	246120367	139329990	6974189	0.247491	1.674261	3.107910	0.749370	0.000000	1.153858	0.931269	0.222589	0.467957	7.466711	0.065864	23238590464	23238590464	23278030848	23278030848	23280676864	23286591488	23328198656	23328198656	23306326016	23306326016	23302000640	23302000640	23302000640	23279337472	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
64	680743	463301	17751	199691	1740414	1193878	394009	246514376	139793291	6991940	0.176764	1.080526	3.292294	0.393618	0.000000	0.704764	0.574384	0.130379	0.224676	5.913657	0.041016	23245778944	23245778944	23281864704	23281864704	23281864704	23285714944	23320403968	23320403968	23273287680	23273287680	23271055360	23271055360	23271055360	23277359104	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
65	394009	285529	15750	92730	789397	574302	179300	246693676	140078820	7007690	0.088333	0.602420	3.322980	0.158140	0.000000	0.329255	0.266145	0.063110	0.079242	4.602389	0.022020	23243800576	23243800576	23244283904	23244288000	23244288000	23246696448	23269343232	23269343232	23269343232	23269343232	23269343232	23269343232	23269343232	23269343232	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
66	179300	134753	5885	38662	310612	245228	69765	246763441	140213573	7013575	0.035272	0.268595	3.394972	0.059209	0.000000	0.141292	0.115678	0.025614	0.023369	3.939211	0.016503	23269343232	23269343232	23269343232	23269343232	23269343232	23270469632	23288000512	23288000512	23288000512	23288000512	23288000512	23288000512	23288000512	23288000512	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
67	69765	53896	3721	12148	94813	78800	24330	246787771	140267469	7017296	0.011204	0.094917	3.475178	0.018348	0.000000	0.045412	0.037735	0.007677	0.008218	3.657334	0.004058	23208669184	23208669184	23210635264	23210635264	23210635264	23211094016	23242551296	23242551296	23242551296	23242551296	23242551296	23242551296	23242551296	23242551296	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
68	24330	19420	940	3970	29604	26348	7989	246795760	140286889	7018236	0.003869	0.030999	3.458999	0.005637	0.000000	0.014618	0.013053	0.001565	0.002430	3.518545	0.001994	23242551296	23242551296	23242551296	23242551296	23242551296	23242715136	23243747328	23243747328	23243747328	23243747328	23243747328	23243747328	23243747328	23243747328	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
69	7989	5625	636	1728	12178	11174	4419	246800179	140292514	7018872	0.001079	0.010214	3.465733	0.001988	0.000000	0.006368	0.005694	0.000674	0.001466	3.488282	0.001435	23243747328	23243747328	23243747328	23243747328	23243747328	23243796480	23243812864	23243812864	23243812864	23243812864	23243812864	23243812864	23243812864	23243812864	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
70	4419	3570	76	773	5624	5193	2031	246802210	140296084	7018948	0.000544	0.005401	3.388997	0.001173	0.000000	0.003064	0.002657	0.000407	0.000986	3.401366	0.001201	23243812864	23243812864	23243812864	23243812864	23243812864	23243841536	23243841536	23243841536	23243841536	23243841536	23243841536	23243841536	23243841536	23243841536	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
71	2031	1582	36	413	2209	1989	932	246803142	140297666	7018984	0.000392	0.002466	3.367152	0.000503	0.000000	0.001286	0.001087	0.000199	0.000596	3.373481	0.001088	23243841536	23243841536	23243841536	23243841536	23243841536	23243853824	23243853824	23243853824	23243853824	23243853824	23243853824	23243853824	23243853824	23243853824	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
72	932	923	1	8	72	68	25	246803167	140298589	7018985	0.000226	0.001098	3.451951	0.000081	0.000000	0.000169	0.000105	0.000064	0.000476	3.455027	0.001026	23243853824	23243853824	23243853824	23243853824	23243853824	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
73	25	25	0	0	0	0	0	246803167	140298614	7018985	0.000108	0.000104	3.410931	0.000072	0.000000	0.000137	0.000061	0.000076	0.000074	3.412723	0.001297	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23243862016	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984	23823273984
