round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_post	n_seen	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4	hwm_F5_begin	hwm_F5
47	5000000	2917753	122356	1959891	18845555	4214485	199465202	97463247	5092310	1.252483	8.237882	1.095522	6.368445	0.000000	14.297832	3.497287	35.190124	0.440673	20082593792	20082593792	20258541568	20258541568	20596682752	20620021760	20621033472	20621033472	21007142912	21007142912	20738707456	20738707456	20519026688	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872
48	5000000	3050882	133165	1815953	17465922	3805851	203271053	100514129	5225475	1.330747	8.118066	2.556050	5.962421	0.000000	13.515308	6.706890	38.734655	0.545173	20336128000	20336128000	20513710080	20513710080	20812533760	20836941824	20838866944	20838866944	21236011008	21236011008	20833357824	20833357824	20805902336	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872
49	5000000	2928180	129705	1942115	18530730	4404625	207675678	103442309	5355180	1.162712	8.094532	4.045500	6.113831	0.000000	14.364470	6.597228	40.835209	0.456936	20564926464	20564926464	20743929856	20743929856	21119782912	21143207936	21144911872	21144911872	21533540352	21533540352	21265104896	21265104896	21060911104	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872
50	5000000	2881474	115553	2002973	18689134	4244056	211919734	106323783	5470733	1.251895	8.098724	1.788159	6.338363	0.000000	14.393008	5.866193	38.163959	0.427617	20876759040	20876759040	21053685760	21053685760	21418409984	21441462272	21443272704	21443272704	21830631424	21830631424	21562195968	21562195968	21337063424	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872
51	5000000	2973239	117568	1909193	17521313	3791897	215711631	109297022	5588301	1.271464	7.952558	3.202927	6.343735	0.000000	12.685612	4.697763	36.514855	0.360796	21159546880	21159546880	21334392832	21334392832	21641363456	21665148928	21666267136	21666267136	22062968832	22062968832	21660315648	21660315648	21557649408	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872
52	5000000	3129088	146754	1724158	15983892	3621727	219333358	112426110	5735055	1.231139	7.848361	5.107097	6.267354	0.000000	11.907656	3.309910	36.069082	0.397564	21391884288	21391884288	21568540672	21568540672	21839081472	21864116224	21865648128	21865648128	22274650112	22274650112	21871996928	21871996928	21790703616	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22676414464	22676414464	22676414464
53	5000000	3164606	143645	1691749	15780198	3458455	222791813	115590716	5878700	1.266201	7.852532	2.468937	6.795306	0.000000	12.380744	7.069366	38.361108	0.528023	21603565568	21603565568	21783474176	21783474176	22093266944	22118584320	22120071168	22120071168	22530703360	22530703360	22128050176	22128050176	22094737408	22676414464	22676414464	22676414464	22676414464	22676414464	22676414464	22676414464	22676414464	22924255232	22924255232	22932631552	22932631552	22932631552
54	5000000	3291430	142360	1566210	14761289	3084989	225876802	118882146	6021060	1.182581	7.923933	4.024208	6.702443	0.000000	15.016970	5.781503	41.251628	0.619991	21859618816	21859618816	22036844544	22036844544	22309912576	22336241664	22337462272	22337462272	22756245504	22756245504	22353592320	22353592320	22259605504	22932631552	22932631552	22932631552	22932631552	22932631552	22932631552	22932631552	22932631552	23141978112	23141978112	23158390784	23158390784	23158390784
55	5000000	3297407	172503	1530090	14367989	3246898	229123700	122179553	6193563	1.394586	8.349995	4.517782	5.175863	0.000000	18.134415	3.762641	41.832179	0.496897	22085160960	22085160960	22264131584	22264135680	22545199104	22571577344	22572670976	22572670976	22994599936	22994599936	22994599936	22994599936	22510661632	23158390784	23158390784	23158390784	23158390784	23158390784	23158390784	23158390784	23158390784	23377403904	23377403904	23396745216	23396745216	23396745216
56	5000000	3232117	194481	1573402	14222220	3258480	232382180	125411670	6388044	1.334393	8.270137	1.929267	5.037743	0.000000	18.353119	6.615717	42.242199	0.701823	22323515392	22323515392	22499741696	22499741696	22795874304	22821732352	22822129664	22822129664	23245225984	23245225984	23245225984	23245225984	22803988480	23396745216	23396745216	23396745216	23396745216	23396745216	23396745216	23396745216	23396745216	23626862592	23626862592	23647371264	23647371264	23647371264
57	5000000	3337818	183570	1478612	13636657	3063557	235445737	128749488	6571614	1.215831	8.086724	3.170910	4.489928	0.000000	11.256507	5.169797	33.889085	0.499387	22575079424	22575079424	22752428032	22752428032	23027818496	23054520320	23055671296	23055671296	23215013888	23215013888	23080796160	23080796160	22980583424	23647371264	23647371264	23647371264	23647371264	23647371264	23647371264	23647371264	23647371264	23647371264	23647371264	23647371264	23647371264	23647371264
58	5000000	3401464	170403	1428133	13283748	3089833	238535570	132150952	6742017	1.323873	7.984418	5.160541	4.637983	0.000000	10.276872	3.061898	32.822018	0.376434	22812364800	22812364800	22988361728	22988361728	23266205696	23293419520	23294623744	23294623744	23456792576	23456792576	23322574848	23322574848	23198982144	23647371264	23647371264	23647371264	23647371264	23647371264	23647371264	23733301248	23733301248	23733301248	23733301248	23859204096	23859204096	23859204096
59	3993433	2647817	104472	1241144	11373292	2608151	241143721	134798769	6846489	1.133171	6.448939	1.180026	4.147717	0.000000	8.058058	2.269906	23.511374	0.273556	23054143488	23054143488	23220326400	23220326400	23409483776	23430664192	23432642560	23432642560	23610093568	23610093568	23475875840	23475875840	23341654016	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
60	2608151	1729816	46693	831642	7738787	1842448	242986169	136528585	6893182	0.854219	4.119078	2.432749	2.570868	0.000000	5.553107	1.417158	17.141986	0.194807	23207432192	23207432192	23357820928	23357820928	23419731968	23433572352	23435194368	23435194368	23507505152	23507505152	23440396288	23440396288	23373283328	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
